species,birdID,date,longitude,latitude
Black-bellied plover,19,07/07/2017,-166.3367,64.8885
Black-bellied plover,19,08/07/2017,-166.3169,64.88
Black-bellied plover,19,10/07/2017,-166.327,64.8595
Black-bellied plover,19,10/07/2017,-166.3195,64.8677
Black-bellied plover,19,12/07/2017,-166.3118,64.8656
Black-bellied plover,19,14/07/2017,-165.6876,61.5097
Black-bellied plover,19,14/07/2017,-165.6926,61.5055
Black-bellied plover,19,16/07/2017,-165.6719,61.2433
Black-bellied plover,19,16/07/2017,-165.6731,61.2389
Black-bellied plover,19,16/07/2017,-165.6649,61.2355
Black-bellied plover,19,18/07/2017,-165.7698,61.5309
Black-bellied plover,19,28/07/2017,-165.8044,61.5115
Black-bellied plover,19,28/07/2017,-165.8937,61.4921
Black-bellied plover,19,29/07/2017,-165.8253,61.5315
Black-bellied plover,19,30/07/2017,-165.8954,61.5021
Black-bellied plover,19,04/08/2017,-165.7934,61.5162
Black-bellied plover,19,06/08/2017,-162.3038,58.4246
Black-bellied plover,19,08/08/2017,-135.6769,43.3892
Black-bellied plover,19,10/08/2017,-116.3119,31.1111
Black-bellied plover,19,12/08/2017,-116.311,31.118
Black-bellied plover,19,29/08/2017,-113.1888,26.7081
Black-bellied plover,19,02/09/2017,-113.1351,26.7224
Black-bellied plover,19,08/09/2017,-113.122,26.736
Black-bellied plover,19,12/09/2017,-113.1549,26.677
Black-bellied plover,19,12/09/2017,-113.148,26.6707
Black-bellied plover,19,13/09/2017,-113.1342,26.7283
Black-bellied plover,19,06/11/2017,-113.1642,26.7421
Black-bellied plover,19,16/11/2017,-113.1441,26.7395
Black-bellied plover,19,01/12/2017,-113.1285,26.7357
Black-bellied plover,19,03/12/2017,-113.1344,26.725
Black-bellied plover,19,05/12/2017,-113.1282,26.7281
Black-bellied plover,20,06/07/2017,-166.2646,64.8634
Black-bellied plover,20,08/07/2017,-166.2561,64.8711
Black-bellied plover,20,08/07/2017,-166.2634,64.8693
Black-bellied plover,20,08/07/2017,-166.2367,64.871
Black-bellied plover,20,10/07/2017,-163.937,63.1408
Black-bellied plover,20,10/07/2017,-163.9669,63.1353
Black-bellied plover,20,10/07/2017,-164.2293,63.0987
Black-bellied plover,20,10/07/2017,-164.2422,63.0942
Black-bellied plover,20,16/07/2017,-164.4455,62.9496
Black-bellied plover,20,16/07/2017,-164.4219,62.9563
Black-bellied plover,20,18/07/2017,-164.4951,62.7462
Black-bellied plover,20,23/07/2017,-164.5648,62.7068
Black-bellied plover,20,25/07/2017,-164.5851,62.6928
Black-bellied plover,20,27/07/2017,-163.0664,60.1105
Black-bellied plover,20,29/07/2017,-163.1091,60.1046
Black-bellied plover,20,29/07/2017,-163.1164,60.1157
Black-bellied plover,20,31/07/2017,-140.0084,53.8174
Black-bellied plover,20,31/07/2017,-139.7756,53.834
Black-bellied plover,20,31/07/2017,-138.1314,54.2092
Black-bellied plover,20,31/07/2017,-137.1689,54.0593
Black-bellied plover,20,03/08/2017,-124.6286,48.3758
Black-bellied plover,20,05/08/2017,-124.5694,48.3689
Black-bellied plover,20,07/08/2017,-124.0202,46.8527
Black-bellied plover,20,07/08/2017,-124.0411,46.849
Black-bellied plover,20,09/08/2017,-123.9934,46.2276
Black-bellied plover,20,09/08/2017,-124.0079,46.2218
Black-bellied plover,20,11/08/2017,-119.8417,36.1215
Black-bellied plover,20,11/08/2017,-119.8059,36.115
Black-bellied plover,20,15/08/2017,-119.8517,36.1315
Black-bellied plover,20,20/08/2017,-119.6485,35.9949
Black-bellied plover,20,22/08/2017,-116.0064,30.4464
Black-bellied plover,20,22/08/2017,-116.014,30.4429
Black-bellied plover,20,08/09/2017,-116.0057,30.4216
Black-bellied plover,20,16/09/2017,-116.0044,30.4183
Black-bellied plover,20,07/11/2017,-121.6172,38.5418
Black-bellied plover,20,24/11/2017,-121.7057,38.6477
Black-bellied plover,20,28/11/2017,-121.675,38.6554
Black-bellied plover,20,30/11/2017,-122.0591,39.5232
Black-bellied plover,20,05/12/2017,-122.0491,39.5081
Black-bellied plover,7,21/07/2017,-150.7094,70.4507
Black-bellied plover,7,21/07/2017,-150.6738,70.4558
Black-bellied plover,7,28/07/2017,-150.708,70.3679
Black-bellied plover,7,30/07/2017,-150.6973,70.445
Black-bellied plover,7,01/08/2017,-150.6707,70.446
Black-bellied plover,7,01/08/2017,-150.8615,70.4515
Black-bellied plover,7,17/08/2017,-113.3131,53.8696
Black-bellied plover,7,17/08/2017,-111.3698,52.2727
Black-bellied plover,7,18/08/2017,-111.1332,52.2504
Black-bellied plover,7,22/08/2017,-111.3377,51.6508
Black-bellied plover,7,27/08/2017,-111.2287,51.6399
Black-bellied plover,7,29/08/2017,-111.633,51.1368
Black-bellied plover,7,29/08/2017,-111.4851,51.0121
Black-bellied plover,7,29/08/2017,-111.3221,50.1304
Black-bellied plover,7,31/08/2017,-109.8852,26.9931
Black-bellied plover,7,31/08/2017,-109.7931,26.983
Black-bellied plover,7,02/09/2017,-109.7749,26.9654
Black-bellied plover,7,02/09/2017,-109.419,26.5344
Black-bellied plover,7,12/09/2017,-109.2833,25.7705
Black-bellied plover,7,14/09/2017,-109.2927,25.7629
Black-bellied plover,7,18/09/2017,-109.2781,25.7719
Black-bellied plover,7,08/11/2017,-109.2775,25.7999
Black-bellied plover,7,17/11/2017,-109.2617,25.7409
Black-bellied plover,7,20/11/2017,-109.2877,25.6952
Black-bellied plover,7,04/12/2017,-109.3225,25.6903
Black-bellied plover,7,06/12/2017,-109.2881,25.7582
Black-bellied plover,8,07/07/2017,-150.6684,70.4188
Black-bellied plover,8,19/07/2017,-150.6557,70.4207
Black-bellied plover,8,27/07/2017,-150.7301,70.5026
Black-bellied plover,8,28/07/2017,-150.7162,70.497
Black-bellied plover,8,28/07/2017,-150.7762,70.4846
Black-bellied plover,8,04/08/2017,-121.652,62.7635
Black-bellied plover,8,04/08/2017,-122.104,62.4015
Black-bellied plover,8,04/08/2017,-120.8369,60.6186
Black-bellied plover,8,08/08/2017,-108.4596,51.4814
Black-bellied plover,8,11/08/2017,-108.4562,51.4476
Black-bellied plover,8,15/08/2017,-108.442,51.3902
Black-bellied plover,8,17/08/2017,-93.4952,35.15
Black-bellied plover,8,17/08/2017,-92.1599,31.944
Black-bellied plover,8,19/08/2017,-91.366,29.4345
Black-bellied plover,8,19/08/2017,-91.3618,29.4127
Black-bellied plover,8,20/08/2017,-91.3711,29.4304
Black-bellied plover,8,22/08/2017,-91.4143,29.3699
Black-bellied plover,8,11/09/2017,-91.3652,29.3332
Black-bellied plover,8,13/09/2017,-91.3965,29.3587
Black-bellied plover,8,18/09/2017,-91.4007,29.3716
Black-bellied plover,8,19/11/2017,-91.2677,29.4237
Black-bellied plover,8,29/11/2017,-91.4434,29.3716
Black-bellied plover,8,01/12/2017,-91.4186,29.3611
Black-bellied plover,8,03/12/2017,-91.4813,29.346
Black-bellied plover,8,06/12/2017,-91.4248,29.3658
Black-crowned night heron,Parker,24/06/2016,-77.0727,38.9256
Black-crowned night heron,Parker,14/09/2016,-80.12,32.933
Black-crowned night heron,Parker,15/09/2016,-81.365,29.627
Black-crowned night heron,Parker,16/09/2016,-81.001,27.59
Black-crowned night heron,Parker,20/09/2016,-80.948,26.125
Black-crowned night heron,Parker,22/09/2016,-80.723,25.37
Black-crowned night heron,Parker,23/09/2016,-80.954,23.214
Black-crowned night heron,Parker,24/09/2016,-81.307,22.493
Black-crowned night heron,Parker,26/09/2016,-81.259,22.432
Black-crowned night heron,Parker,07/10/2016,-81.312,22.368
Black-crowned night heron,Parker,07/10/2016,-81.312,22.368
Black-crowned night heron,Parker,16/10/2016,-81.492,22.254
Black-crowned night heron,Parker,16/11/2016,-81.487,22.252
Black-crowned night heron,Parker,11/05/2017,-77.005,38.922
Black-crowned night heron,Parker,22/05/2017,-77.043,38.883
Black-crowned night heron,Parker,27/05/2017,-77.126,38.917
Black-crowned night heron,Parker,27/05/2017,-77.126,38.917
Black-crowned night heron,Parker,06/08/2017,-77.051,38.93
Black-crowned night heron,Parker,21/08/2017,-77.051,38.879
Black-crowned night heron,Parker,28/08/2017,-81.02,29.13
Black-crowned night heron,Parker,28/08/2017,-80.822,28.976
Black-crowned night heron,Parker,30/08/2017,-81.348,22.468
Black-crowned night heron,Parker,14/09/2017,-81.537,22.563
Black-crowned night heron,Smith,02/07/2016,-77.0536,38.9313
Black-crowned night heron,Smith,17/07/2016,-76.559,38.781
Black-crowned night heron,Smith,17/07/2016,-76.556,38.781
Black-crowned night heron,Smith,17/07/2016,-76.561,38.779
Black-crowned night heron,Smith,19/07/2016,-76.092,39.535
Black-crowned night heron,Smith,30/07/2016,-76.092,39.495
Black-crowned night heron,Smith,07/09/2016,-75.384,39.225
Black-crowned night heron,Smith,28/09/2016,-75.667,37.637
Black-crowned night heron,Smith,28/10/2016,-80.999,26.366
Black-crowned night heron,Smith,04/11/2016,-81.027,26.347
Black-crowned night heron,Smith,13/11/2016,-81.033,26.352
Black-crowned night heron,Smith,02/02/2017,-80.633,26.147
Black-crowned night heron,Smith,07/02/2017,-80.628,26.157
Black-crowned night heron,Smith,29/03/2017,-80.548,26.154
Black-crowned night heron,Smith,01/04/2017,-76.797,37.169
Black-crowned night heron,Smith,15/05/2017,-77.153,38.94
Black-crowned night heron,Smith,30/06/2017,-77.125,38.886
Black-crowned night heron,Smith,30/06/2017,-77.134,38.933
Black-crowned night heron,Smith,06/08/2017,-77.051,38.93
Black-crowned night heron,Smith,21/08/2017,-75.426,39.226
Black-crowned night heron,Smith,12/11/2017,-81.016,26.356
Black-crowned night heron,Smith,27/11/2017,-81.001,26.359
Black-crowned night heron,Smith,02/12/2017,-81.002,26.361
Brown pelican,Grindylow,19/07/2017,-76.0889,38.1507
Brown pelican,Grindylow,20/07/2017,-76.0647,38.1422
Brown pelican,Grindylow,25/07/2017,-76.3738,38.3282
Brown pelican,Grindylow,27/07/2017,-76.239,38.3344
Brown pelican,Grindylow,31/07/2017,-76.4254,38.2647
Brown pelican,Grindylow,03/08/2017,-76.2939,38.4173
Brown pelican,Grindylow,04/08/2017,-76.1478,38.2617
Brown pelican,Grindylow,05/08/2017,-75.9856,38.1802
Brown pelican,Grindylow,07/08/2017,-76.3902,38.3086
Brown pelican,Grindylow,10/08/2017,-76.3815,38.7652
Brown pelican,Grindylow,10/08/2017,-76.4724,38.74
Brown pelican,Grindylow,10/08/2017,-76.4391,38.8776
Brown pelican,Grindylow,11/08/2017,-76.3433,38.5186
Brown pelican,Grindylow,16/08/2017,-76.2886,38.1937
Brown pelican,Grindylow,29/08/2017,-76.0703,38.1857
Brown pelican,Grindylow,08/09/2017,-76.2084,38.3694
Brown pelican,Grindylow,08/09/2017,-76.1652,38.1393
Brown pelican,Grindylow,11/09/2017,-76.3187,38.3364
Brown pelican,Grindylow,13/09/2017,-76.1046,38.1195
Brown pelican,Grindylow,15/09/2017,-76.26,38.3747
Brown pelican,Grindylow,23/11/2017,-76.0144,37.1645
Brown pelican,Grindylow,25/11/2017,-75.7082,35.2154
Brown pelican,Grindylow,29/11/2017,-75.805,35.1158
Brown pelican,Grindylow,03/12/2017,-75.7608,35.2042
Brown pelican,Grindylow,06/12/2017,-75.7218,35.2174
Brown pelican,Plimpy,19/07/2017,-76.0889,38.1507
Brown pelican,Plimpy,22/07/2017,-76.1844,38.0815
Brown pelican,Plimpy,22/07/2017,-76.2011,38.1989
Brown pelican,Plimpy,25/07/2017,-76.0641,38.112
Brown pelican,Plimpy,27/07/2017,-76.2397,38.3088
Brown pelican,Plimpy,27/07/2017,-76.4641,38.3657
Brown pelican,Plimpy,30/07/2017,-76.1735,38.1607
Brown pelican,Plimpy,01/08/2017,-76.2252,38.1647
Brown pelican,Plimpy,01/08/2017,-76.2037,38.172
Brown pelican,Plimpy,02/08/2017,-76.0704,38.1338
Brown pelican,Plimpy,04/08/2017,-76.0623,38.1643
Brown pelican,Plimpy,09/08/2017,-76.205,38.1933
Brown pelican,Plimpy,21/08/2017,-76.0625,38.186
Brown pelican,Plimpy,24/08/2017,-76.2211,38.2642
Brown pelican,Plimpy,27/08/2017,-76.1108,37.9688
Brown pelican,Plimpy,27/08/2017,-76.1355,37.9535
Brown pelican,Plimpy,30/08/2017,-76.1864,38.2405
Brown pelican,Plimpy,02/09/2017,-75.962,38.1798
Brown pelican,Plimpy,13/09/2017,-76.0097,38.2155
Brown pelican,Plimpy,24/11/2017,-76.2266,37.8602
Brown pelican,Plimpy,29/11/2017,-75.9904,37.0698
Brown pelican,Plimpy,01/12/2017,-75.5119,35.7629
Brown pelican,Plimpy,04/12/2017,-76.0456,35.0979
Brown pelican,Plimpy,06/12/2017,-75.7816,35.2044
Brown pelican,Yeti,19/07/2017,-76.0889,38.1507
Brown pelican,Yeti,28/07/2017,-76.1329,38.2328
Brown pelican,Yeti,30/07/2017,-76.0355,37.9359
Brown pelican,Yeti,30/07/2017,-76.0217,37.9233
Brown pelican,Yeti,30/07/2017,-76.2988,37.9176
Brown pelican,Yeti,30/07/2017,-76.1681,37.9382
Brown pelican,Yeti,01/08/2017,-76.1106,38.2744
Brown pelican,Yeti,02/08/2017,-76.4048,38.2618
Brown pelican,Yeti,02/08/2017,-76.4109,38.2786
Brown pelican,Yeti,02/08/2017,-76.2386,38.3342
Brown pelican,Yeti,05/08/2017,-76.3954,38.2684
Brown pelican,Yeti,07/08/2017,-76.3723,38.2268
Brown pelican,Yeti,07/08/2017,-76.2488,38.3315
Brown pelican,Yeti,13/08/2017,-76.0935,38.1208
Brown pelican,Yeti,21/08/2017,-76.0761,38.1448
Brown pelican,Yeti,24/08/2017,-76.2454,38.0428
Brown pelican,Yeti,27/08/2017,-76.0378,37.9314
Brown pelican,Yeti,29/08/2017,-75.9305,38.1422
Brown pelican,Yeti,04/09/2017,-76.0699,38.1631
Brown pelican,Yeti,13/09/2017,-76.3508,38.3046
Brown pelican,Yeti,13/09/2017,-76.2119,38.3042
Brown pelican,Yeti,17/09/2017,-76.2547,38.3309
Brown pelican,Yeti,29/11/2017,-76.3648,38.2323
Brown pelican,Yeti,29/11/2017,-76.4111,38.2568
Brown pelican,Yeti,01/12/2017,-76.3927,38.2675
Brown pelican,Yeti,04/12/2017,-76.0185,37.9243
Brown pelican,Yeti,06/12/2017,-76.2429,37.8656
Long-billed curlew,141772,18/03/2017,-97.3135,27.4731
Long-billed curlew,141772,21/03/2017,-97.3278,27.4413
Long-billed curlew,141772,31/03/2017,-101.8206,33.8165
Long-billed curlew,141772,02/04/2017,-101.2301,37.9679
Long-billed curlew,141772,02/04/2017,-101.2199,37.9669
Long-billed curlew,141772,07/04/2017,-101.2469,38.1875
Long-billed curlew,141772,05/06/2017,-103.7578,43.2304
Long-billed curlew,141772,09/06/2017,-103.774,43.0881
Long-billed curlew,141772,12/06/2017,-103.9407,43.4184
Long-billed curlew,141772,15/06/2017,-103.77,43.4564
Long-billed curlew,141772,22/06/2017,-97.2752,27.5291
Long-billed curlew,141772,24/06/2017,-97.2843,27.4455
Long-billed curlew,141772,25/06/2017,-97.3283,27.4334
Long-billed curlew,141772,19/07/2017,-97.2766,27.5331
Long-billed curlew,141772,08/08/2017,-97.3303,27.4608
Long-billed curlew,141772,18/08/2017,-97.3254,27.4602
Long-billed curlew,141772,20/08/2017,-97.3274,27.4606
Long-billed curlew,141772,23/08/2017,-97.3265,27.4601
Long-billed curlew,141772,25/08/2017,-97.3304,27.4291
Long-billed curlew,141772,28/08/2017,-97.4493,27.5938
Long-billed curlew,141772,04/09/2017,-97.278,27.4551
Long-billed curlew,141772,04/09/2017,-97.2749,27.5371
Long-billed curlew,141772,16/09/2017,-97.2847,27.4521
Long-billed curlew,141772,24/09/2017,-97.3428,27.435
Long-billed curlew,141772,26/09/2017,-97.2907,27.4415
Long-billed curlew,141773,19/03/2017,-97.226,27.6332
